,,,,"Nearest CO2 source > 25,000 tonne/year",,Nearest CO2 source,,Nearest CO2 source**,,Presence - Yes or No,,,,,,,,Number per grid,,,,,,,,,,,Numerical Attribute Scores (Additive),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General scores via Scenarios,,,,Quartiles for Scenarios,,,
Grid Labeling,,Centroid,,,,Source to Sink,,45Q updated,,,,,,,,,,Leakage,,,Infrastructure,,,,Development,,,Relevant Plays per Grid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid FID,Grid ID,"Longitude
(degrees)","Latitude
(degrees)",CO2 Source ID (tied to NATCARB dataset)*,Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),CO2 Source ID (tied to NATCARB dataset),Distance (km),Caisson Platform,Fixed Platform,Well Protector Platform,Pipeline,Fault,Salt dome,Shipping Route (w/5 MI Buffer),Shipping Route (w/10 mi Buffer),Fault,Active Wells,P&A Wells,Caisson Platform,Major Platform,Well Protector Platform,Pipeline,Salt dome,EOR Wells,Shipping Route (w/10 mi Buffer),Number of plays,(SUM) Injectivity W Depth - (kh),"(SUM) Quality W/O Depth - ([h x E]/[1,000 feet to reservoir bottom])",Capacity per Grid - (million tonnes),Water Depth - (feet),Average Calculated Water Depth - (feet),"(SUM) Hydrocarbon Potential W/O Depth - ([h x So]/[1,000 feet to reservoir bottom])",Recoverable Oil (barrels)/acre foot,(Sum) Projected Remaining OIP - (barrels),New Injectivity (mD/MPa °K),Subsea Depth - (feet),Average Calculated Subsea Depth of Reservoirs - (feet),Sum of injectivity proxy - (kh),"Sum of hydrocarbon potential - ([h x So]/[1,000 feet to reservoir bottom])",Sum of recoverable oil per acre-foot,Projected remaining oil in place (barrels),Pipeline ROW proxy,Density of active caisson platform infrastructure,Density of active well protector platform infrastructure,Density of major active multi-purpose platform infrastructure- major,Distance to closest on-shore CO2 source > 25000 tonnes,Within major shipping route buffer area,Subsea depth - Saline Reservoirs,Water depth - Saline Reservoirs,Subsea depth - Oil Reservoirs,Water depth - Oil Reservoirs,Above salt domes,Active Well Density,P&A Well Density,Faults,Sum of Reservoir Quality W/O Depth (feet),New Injectivity,S1,S2,S3,S4,S1,S2,S3,S4
26,36733,-96.39217916,26.07182575,1671,113.8870073,860,97.45353436,5,151.4235663,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0,0,0,1726869.1,3142,3142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.9348,100.0000,100.0000,49.3486,100.0000,49.3486,0.0000,100.0000,100.0000,100.0000,0.0000,0.3746,30.95424784,,17.13843779,,0-25%,,0-25%,
27,36734,-96.46366341,26.14330999,1671,108.0923031,860,91.59884519,5,157.3853257,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,14.39,808.88,686,393.08,196.54,0,0,0,7856433.98,6539,3269.5,3.3132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63.3632,0.0000,98.4237,49.2839,98.4237,49.2839,0.0000,100.0000,100.0000,100.0000,2.0055,5.5049,29.24805127,,18.23757189,,0-25%,,0-25%,
28,36735,-96.39217916,26.14330999,1671,115.0893587,860,98.61450363,5,150.2850583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1.22,210.8,351,196.33,196.33,0,0,0,1726869.1,3142,3142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.4711,0.0000,100.0000,49.3486,100.0000,49.3486,0.0000,100.0000,100.0000,100.0000,0.0000,0.3746,27.90787316,,17.09206311,,0-25%,,0-25%,
29,37012,-97.03553738,26.21479424,1671,56.98893686,860,41.94098174,286,114.1116176,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.7366,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,100.0000,0.0000,12.6640,13.4876,33.76498722,,14.71185716,,0-25%,,0-25%,
30,37013,-96.96405313,26.21479424,1671,63.18032749,860,47.68661496,286,121.1542646,0,0,0,1,0,0,1,1,0,0,1,0,0,0,3,0,0,4,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,48.6053,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,99.5798,100.0000,12.6640,13.4876,59.04345099,,38.96931253,,25-50%,,25-50%,
31,37014,-97.03553738,26.28627848,1671,61.05283653,860,47.35628065,286,113.0150797,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.2899,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,100.0000,0.0000,12.6640,13.4876,33.72032209,,14.66719204,,0-25%,,0-25%,
32,37015,-96.96405313,26.28627848,1671,66.86900408,860,52.50972375,286,120.1178066,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,48.1831,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,99.5798,0.0000,12.6640,13.4876,54.00123309,,34.92709463,,25-50%,,25-50%,
33,37019,-97.10702163,26.42924698,1631,60.21173532,860,56.34046913,286,105.3493795,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,2,8.35,907.12,988,218.73,109.365,0,0,0,4020647.81,15669,7834.5,1.7937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.1675,0.0000,41.9867,76.1342,41.9867,76.1342,0.0000,100.0000,100.0000,0.0000,2.3350,2.2945,29.75142868,,11.77227759,,0-25%,,0-25%,
34,37020,-97.03553738,26.35776273,1631,63.86570311,860,53.40076556,286,112.4668407,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0666,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,100.0000,0.0000,12.6640,13.4876,33.69799075,,14.64486069,,0-25%,,0-25%,
35,37021,-96.96405313,26.35776273,1631,70.64378913,860,58.01707916,286,119.5978779,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,6,33.68,3987.42,3572,823.18,137.1966667,0,0,0,17394065.31,37178,6196.333333,8.1660,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,47.9713,100.0000,62.2393,67.5619,62.2393,67.5619,0.0000,100.0000,100.0000,0.0000,12.6640,13.4876,53.98845827,,34.93532821,,25-50%,,25-50%,
